166500.00 8
26   9583902.34970 -13295700.78520  20877901.45700  21772805.57800
166512.00 8
 3 -13223224.67760 -22982167.57880   1920961.37160  22670551.64100
 6 -21651563.37480   7990421.99530  13186307.30470  24400236.75800
 7 -25374624.70470  -6161979.26400   6215523.76870  23765932.19500
 9 -15299977.75720  -4126360.08200  21278493.56810  21095789.75000
16   2281798.33850 -21162289.20760  15472890.98700  20729716.37500
22  -9600914.80950 -24172246.86050  -5086385.46880  24195646.72700
23  -7822355.54190 -15320210.53450  20393954.69250  20328236.78900
26   9585224.30110 -13293397.21990  20878773.55450  21773133.46900
166513.00 8
 3 -13223088.72940 -22982512.83820   1917801.76990  22671221.58600
 6 -21653218.72600   7990140.48720  13183754.99140  24400622.31300
 7 -25373856.31130  -6162158.21170   6218539.23080  23765375.41400
 9 -15298574.45810  -4128683.30410  21279049.97900  21095393.92200
16   2282719.46050 -21160504.38220  15475216.28720  20729592.66400
22  -9600236.82420 -24171854.66090  -5089389.24130  24196362.99200
23  -7820886.60480 -15322297.31740  20392894.87860  20328207.74200
26   9586546.43510 -13291093.63480  20879645.20700  21773461.39100
166514.00 8
 3 -13222952.62120 -22982857.75190   1914642.12740  22671892.90600
 6 -21654873.77380   7989859.09330  13181202.39820  24401006.37500
 7 -25373087.55600  -6162337.17720   6221554.56460  23764818.71900
 9 -15297171.25280  -4131006.66470  21279605.93560  21094997.59400
16   2283640.80500 -21158719.34090  15477541.24880  20729468.96900
22  -9599558.62710 -24171462.17090  -5092392.90470  24197079.78900
23  -7819417.84950 -15324384.07440  20391834.63670  20328178.40600
26   9587868.75170 -13288790.02990  20880516.41440  21773789.26600
166515.00 8
 3 -13222816.35320 -22983202.32000   1911482.44430  22672563.48400
 6 -21656528.51810   7989577.81380  13178649.52510  24401390.47700
 7 -25372318.43860  -6162516.16070   6224569.77020  23764262.14100
 9 -15295768.14120  -4133330.16380  21280161.43810  21094601.77300
16   2284562.37200 -21156934.08370  15479865.87180  20729346.10200
22  -9598880.21820 -24171069.39080  -5095396.45900  24197797.07000
23  -7817949.27600 -15326470.80550  20390773.96670  20328149.78900
26   9589191.25100 -13286486.40530  20881387.17680  21774117.55500
166516.00 8
 3 -13222679.92510 -22983546.54270   1908322.72060  22673234.18800
 6 -21658182.95900   7989296.64840  13176096.37230  24401775.57000
 7 -25371548.95930  -6162695.16210   6227584.84740  23763704.97700
 9 -15294365.12350  -4135653.80120  21280716.48640  21094206.23400
16   2285484.16160 -21155148.61060  15482190.15620  20729222.71900
22  -9598201.59750 -24170676.32050  -5098399.90420  24198513.71100
23  -7816480.88440 -15328557.51060  20389712.86880  20328120.89800
26   9590513.93280 -13284182.76110  20882257.49410  21774446.82000
166517.00 8
 3 -13222543.33690 -22983890.41970   1905162.95650  22673905.36700
 6 -21659837.09630   7989015.59730  13173542.93980  24402160.18800
 7 -25370779.11810  -6162874.18140   6230599.79620  23763148.39800
 9 -15292962.19960  -4137977.57700  21281271.08050  21093810.94500
16   2286406.17370 -21153362.92170  15484514.10180  20729100.37500
22  -9597522.76490 -24170282.96010  -5101403.24020  24199230.85200
23  -7815012.67460 -15330644.18970  20388651.34290  20328092.65600
26   9591836.79730 -13281879.09740  20883127.36620  21774776.10200
166518.00 8
 3 -13222406.58860 -22984233.95130   1902003.15190  22674576.61700
 6 -21661490.93010   7988734.66020  13170989.22760  24402544.79700
